Occupation;Age;Subscriptions;Already went to karaoke;Lead Source;Total Visits;Total Time Spent on Website;Page Views Per Visit;Converted
Business;30-40;;Yes;Google;8;550;2.67;0
Business;30-40;;Yes;Direct Traffic;2;963;2;0
Business;30-40;;Yes;Google;2;923;1;1
Business;30-40;;Yes;Google;4;1121;4;1
Business;30-40;;Yes;Google;6;1366;6;1
Unemployed/other;40+;None;Yes;Direct Traffic;2;77;2;0
Business;30-40;;Yes;Facebook;5;274;2.5;0
;;;Yes;Direct Traffic;4;446;1.33;0
Business;30-40;;Yes;Google;2;972;1;1
Business;30-40;;Yes;Google;0;0;0;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Direct Traffic;7;252;2.33;0
Law;18-30;Both;Yes;Direct Traffic;3;1346;3;1
Business;30-40;;Yes;Google;2;1108;2;1
Business;30-40;;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Google;2;1606;2;1
;;;Yes;Google;5;1209;5;0
Unemployed/other;40+;None;Yes;Google;3;315;3;0
Business;30-40;;Yes;Google;6;1552;1.5;1
Business;30-40;None;Yes;Direct Traffic;5;88;1.67;0
Business;30-40;;Yes;Google;4;185;4;0
Unemployed/other;18-30;Both;Yes;Google;2;485;2;1
;;;Yes;Facebook;0;0;0;0
Law;30-40;Netflix;Yes;Direct Traffic;8;103;2.67;1
;;;Yes;Direct Traffic;2;816;2;1
Business;30-40;;Yes;Google;3;1319;3;1
Business;30-40;;Yes;Google;3;240;3;0
Business;30-40;;Yes;Facebook;0;0;0;1
;;;Yes;Google;5;286;5;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;2;2020;2;1
Business;30-40;;Yes;Direct Traffic;3;212;3;0
Unemployed/other;18-30;Both;Yes;Google;2;880;2;1
Business;30-40;None;No;Google;5;1369;2.5;0
Business;30-40;;Yes;Google;3;172;3;0
Business;30-40;;Yes;Google;;429;;1
Business;30-40;;Yes;Google;2;14;2;0
Business;18-30;Spotify;Yes;Google;;186;;1
Business;30-40;Netflix;Yes;Google;2;861;2;1
Business;30-40;;Yes;Google;0;0;0;1
Law;18-30;Spotify;Yes;Google;2;640;1;1
;;;Yes;Direct Traffic;3;580;1.5;0
Business;30-40;None;Yes;Direct Traffic;2;1603;2;0
Business;30-40;;Yes;Google;3;1459;3;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;3;359;3;1
Business;30-40;Netflix;Yes;Direct Traffic;5;100;5;1
Business;30-40;;Yes;Google;3;423;3;1
Unemployed/other;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;2;1520;2;1
Law;30-40;Netflix;Yes;Google;4;1360;4;1
Business;30-40;Netflix;Yes;Direct Traffic;2;2;2;0
Business;30-40;;Yes;Google;5;294;5;0
Business;30-40;Netflix;Yes;Google;4;1261;4;1
;;;Yes;Facebook;3;135;1.5;0
;;;Yes;Google;4;1805;4;0
;;;Yes;Google;4;110;2;0
;;;Yes;Direct Traffic;3;42;1.5;0
Business;30-40;;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;5;45;5;0
;;;No;Google;1;866;1;0
Unemployed/other;40+;None;Yes;Google;7;938;7;1
;;;Yes;Google;8;397;2;0
;;;Yes;Google;5;1084;5;1
Business;30-40;None;No;Google;6;148;3;0
Unemployed/other;18-30;Netflix;Yes;Google;2;1345;2;1
Law;30-40;None;Yes;Direct Traffic;4;1709;4;1
Law;30-40;Netflix;Yes;Google;4;1588;4;1
;;;Yes;Facebook;0;0;0;0
;;;Yes;Direct Traffic;3;533;1.5;0
Business;30-40;;Yes;Facebook;0;0;0;0
;;;Yes;Google;2;1288;2;0
Business;30-40;;Yes;Direct Traffic;6;95;2;0
Business;30-40;;Yes;Google;4;12;1.33;0
Unemployed/other;40+;None;Yes;Google;11;1054;2.75;1
Business;40+;Netflix;Yes;Direct Traffic;4;664;2;1
Business;30-40;;Yes;Google;3;336;1.5;0
;;;Yes;Direct Traffic;2;291;2;0
Law;18-30;Spotify;Yes;Google;4;1688;4;1
Unemployed/other;18-30;Both;Yes;Google;10;1467;10;1
Unemployed/other;30-40;Spotify;Yes;Google;8;419;8;0
Law;18-30;Netflix;Yes;Google;4;427;4;1
;;;Yes;Google;5;294;5;0
Unemployed/other;30-40;;Yes;Google;6;529;3;0
;;;Yes;Google;2;1296;2;1
Unemployed/other;30-40;;Yes;Facebook;2;139;1;0
Law;18-30;Both;Yes;Google;3;1683;3;1
Unemployed/other;18-30;Spotify;Yes;Google;1;254;1;0
Unemployed/other;18-30;Both;Yes;Direct Traffic;3;1223;3;1
Unemployed/other;18-30;Netflix;Yes;Direct Traffic;2;940;2;1
Unemployed/other;30-40;Netflix;Yes;Google;5;9;5;0
;;;Yes;Direct Traffic;2;270;2;0
Law;18-30;Netflix;Yes;Google;5;1323;2.5;1
;;;Yes;Google;4;469;4;0
Unemployed/other;30-40;;Yes;Google;6;326;3;0
Unemployed/other;30-40;None;Yes;Google;4;45;4;0
Unemployed/other;18-30;Spotify;Yes;Google;6;1975;6;1
Unemployed/other;30-40;Netflix;Yes;Google;4;1064;4;0
Unemployed/other;18-30;Netflix;Yes;Google;6;1681;6;1
Unemployed/other;30-40;;Yes;Facebook;0;0;0;0
Law;18-30;Spotify;Yes;Direct Traffic;2;1545;2;1
;;;Yes;Direct Traffic;20;1165;2.5;0
;;;Yes;Facebook;0;0;0;1
Unemployed/other;30-40;;Yes;Google;5;71;5;0
;;;Yes;Google;6;1152;3;0
;;;Yes;Facebook;0;0;0;0
Unemployed/other;40+;None;Yes;Direct Traffic;1;211;1;0
;;;Yes;Google;4;367;4;0
Unemployed/other;18-30;None;Yes;Google;2;942;2;0
Law;30-40;Netflix;Yes;Google;4;894;4;1
Law;18-30;Netflix;Yes;Google;2;1132;1;1
Unemployed/other;30-40;;Yes;Direct Traffic;3;941;3;1
Law;18-30;Netflix;Yes;Google;8;234;4;1
;;;Yes;Google;4;1075;4;0
;;;Yes;Google;6;153;3;0
Unemployed/other;30-40;Netflix;Yes;Direct Traffic;5;1275;2.5;1
Unemployed/other;30-40;;Yes;Google;2;1322;2;0
Law;18-30;Netflix;Yes;Google;3;1210;3;1
Unemployed/other;30-40;Netflix;Yes;Google;5;211;5;0
Unemployed/other;30-40;;Yes;Google;1;147;1;0
Law;18-30;Spotify;Yes;Google;7;67;7;0
Unemployed/other;18-30;Both;Yes;Google;6;938;6;1
Unemployed/other;30-40;;Yes;Facebook;0;0;0;0
Law;18-30;Netflix;Yes;Facebook;1;832;1;1
Unemployed/other;30-40;;Yes;Google;3;352;3;0
;;;Yes;Facebook;0;0;0;0
Unemployed/other;30-40;None;No;Google;4;125;4;0
;;;Yes;Direct Traffic;3;258;3;0
Unemployed/other;40+;None;Yes;Direct Traffic;2;51;2;0
;;;Yes;Facebook;3;15;1.5;0
Law;18-30;Netflix;Yes;Direct Traffic;1;993;1;1
Unemployed/other;30-40;None;Yes;Direct Traffic;2;883;2;0
Law;18-30;Spotify;Yes;Direct Traffic;5;1513;5;1
;;;Yes;Google;12;339;6;0
Unemployed/other;30-40;;Yes;Direct Traffic;3;30;1.5;0
Unemployed/other;40+;;Yes;Google;5;353;5;0
Unemployed/other;40+;None;Yes;Facebook;0;0;0;0
Unemployed/other;30-40;;Yes;Google;2;279;2;0
;;;Yes;Direct Traffic;5;387;5;0
Unemployed/other;30-40;;Yes;Direct Traffic;3;37;3;0
Unemployed/other;30-40;;Yes;Google;9;413;4.5;0
;;;Yes;Direct Traffic;10;68;5;0
Unemployed/other;30-40;;Yes;Facebook;6;983;2;1
Unemployed/other;40+;None;Yes;Direct Traffic;3;40;3;0
Unemployed/other;30-40;Netflix;Yes;Google;5;1489;5;1
;;;Yes;Facebook;0;0;0;0
Unemployed/other;30-40;None;Yes;Direct Traffic;3;250;3;0
Unemployed/other;30-40;Netflix;Yes;Google;6;101;6;0
Unemployed/other;30-40;Netflix;Yes;Google;16;1059;3.2;1
Unemployed/other;30-40;Spotify;Yes;Google;5;312;2.5;0
;;;Yes;Google;4;320;4;0
Law;18-30;Netflix;Yes;Google;3;784;3;1
Unemployed/other;18-30;Spotify;Yes;Google;2;969;1;1
Medical;35-50;Both;Yes;Google;4;1184;2;1
Unemployed/other;18-30;Spotify;Yes;Google;4;995;1.33;1
;;;Yes;Google;6;481;6;0
Unemployed/other;30-40;;Yes;Google;3;42;1.5;0
Unemployed/other;30-40;Netflix;No;Direct Traffic;4;1596;4;0
Unemployed/other;30-40;;Yes;Google;3;7;3;0
Business;30-40;Netflix;Yes;Google;11;374;11;1
Law;18-30;Spotify;Yes;Google;4;688;2;1
;;;Yes;Google;5;30;5;0
Unemployed/other;40+;None;Yes;Google;12;348;3;0
Unemployed/other;30-40;Netflix;Yes;Direct Traffic;2;118;2;1
Unemployed/other;40+;Both;Yes;Direct Traffic;3;1024;1.5;1
Unemployed/other;30-40;;Yes;Google;3;1344;3;0
Unemployed/other;40+;Netflix;Yes;Google;2;127;2;0
Law;30-40;Netflix;Yes;Google;3;783;3;0
Unemployed/other;30-40;;Yes;Google;4;152;4;0
Law;18-30;Both;Yes;Google;4;847;4;1
Unemployed/other;30-40;Netflix;Yes;Google;4;1017;4;1
Unemployed/other;30-40;None;Yes;Google;4;1337;4;1
Unemployed/other;30-40;Netflix;Yes;Google;8;367;2.67;0
Unemployed/other;30-40;;Yes;Google;6;90;3;0
Unemployed/other;40+;None;Yes;Facebook;0;0;0;0
;;;Yes;Google;9;186;9;0
;;;Yes;Google;2;1978;2;0
Unemployed/other;18-30;Both;No;Google;5;777;5;0
Unemployed/other;30-40;Both;Yes;Google;0;0;0;1
Law;18-30;Netflix;Yes;Direct Traffic;3;31;3;1
Unemployed/other;40+;None;Yes;Facebook;0;0;0;0
Unemployed/other;30-40;Netflix;Yes;Google;4;62;4;1
Medical;35-50;Spotify;Yes;Direct Traffic;2;931;2;1
;;;Yes;Facebook;0;0;0;0
Law;18-30;Netflix;Yes;Google;4;1272;4;1
Unemployed/other;30-40;;Yes;Google;5;324;2.5;0
;;;Yes;Google;6;277;6;0
;;;No;Facebook;0;0;0;0
Unemployed/other;30-40;None;Yes;Google;4;1381;4;1
Unemployed/other;30-40;;Yes;Google;2;535;1;0
Unemployed/other;30-40;Netflix;Yes;Google;;1835;;1
Unemployed/other;18-30;Netflix;Yes;Facebook;2;942;2;1
Unemployed/other;18-30;Spotify;Yes;Google;0;0;0;1
Business;30-40;;Yes;Direct Traffic;6;326;6;0
Law;18-30;Netflix;Yes;Google;2;1429;2;1
Business;30-40;Both;Yes;Google;4;1205;2;1
Business;30-40;None;No;Google;2;96;2;0
Business;30-40;;Yes;Facebook;0;0;0;0
Unemployed/other;18-30;None;Yes;Google;6;5;3;0
Unemployed/other;18-30;None;Yes;Google;4;1245;2;1
Law;18-30;Netflix;Yes;Google;2;1101;1;1
Law;18-30;Netflix;Yes;Google;2;826;1;1
Business;30-40;Netflix;Yes;Facebook;3;430;1.5;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Business;30-40;Both;Yes;Google;2;345;2;1
Unemployed/other;18-30;Netflix;Yes;Google;0;0;0;1
Unemployed/other;18-30;Netflix;Yes;Google;0;0;0;1
Unemployed/other;18-30;Netflix;Yes;Google;0;0;0;1
Law;18-30;Netflix;Yes;Google;14;1241;3.5;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Law;35-50;Both;Yes;Google;0;0;0;1
Business;30-40;Netflix;Yes;Others;0;0;0;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Business;30-40;Netflix;Yes;Facebook;0;0;0;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Unemployed/other;18-30;Netflix;Yes;Google;0;0;0;1
Unemployed/other;18-30;Netflix;Yes;Google;;759;;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Business;30-40;None;Yes;Google;6;1178;3;0
Unemployed/other;18-30;Spotify;Yes;Google;0;0;0;1
Law;18-30;Netflix;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;4;222;1.33;0
;;;Yes;Direct Traffic;17;104;3.4;0
Business;30-40;Netflix;Yes;Google;6;251;6;1
Business;30-40;;Yes;Google;7;84;1.75;0
Business;30-40;;Yes;Google;2;1615;2;0
Business;30-40;Netflix;Yes;Google;2;416;1;0
Business;30-40;Netflix;Yes;Google;0;0;0;1
Business;30-40;None;Yes;Google;3;926;3;1
Business;30-40;Netflix;Yes;Google;2;360;2;0
;;;Yes;Google;2;1794;2;1
Unemployed/other;40+;None;Yes;Direct Traffic;2;850;2;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;2;1069;2;1
Business;18-30;Spotify;Yes;Direct Traffic;2;326;2;0
Business;30-40;;Yes;Google;2;1458;1;0
Law;18-30;Spotify;Yes;Direct Traffic;3;1389;3;1
Law;40+;Spotify;Yes;Google;4;1171;4;1
Business;30-40;;Yes;Google;2;253;2;0
Unemployed/other;18-30;Spotify;Yes;Google;2;1059;2;1
Business;30-40;Netflix;Yes;Google;5;266;5;0
Business;30-40;Netflix;Yes;Direct Traffic;2;428;2;0
Business;30-40;;Yes;Google;3;1708;3;0
;;;Yes;Direct Traffic;2;8;2;0
Business;30-40;;Yes;Google;4;4;4;0
Business;30-40;;Yes;Google;4;1075;4;1
;;;Yes;Facebook;0;0;0;0
Law;30-40;None;Yes;Direct Traffic;13;1018;6.5;1
Business;30-40;;Yes;Google;5;108;5;0
Unemployed/other;40+;None;No;Google;3;202;3;0
Business;30-40;;Yes;Google;3;560;3;0
Business;30-40;Netflix;Yes;Google;7;1302;3.5;1
Business;30-40;;Yes;Google;4;416;4;0
Business;30-40;None;Yes;Direct Traffic;5;300;5;1
Business;30-40;;Yes;Google;3;1459;3;1
Business;30-40;None;Yes;Google;4;255;4;0
Business;30-40;;Yes;Google;1;1046;1;1
Business;30-40;;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Facebook;8;180;2.67;0
Business;30-40;Netflix;Yes;Google;13;1667;4.33;1
Business;30-40;;Yes;Google;0;0;0;0
Business;30-40;;Yes;Google;2;1576;2;1
Business;30-40;Netflix;Yes;Google;5;651;5;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Google;2;234;2;0
Business;30-40;;Yes;Google;5;129;5;0
;;;Yes;Facebook;0;0;0;0
Law;30-40;Netflix;Yes;Google;3;1499;3;1
Unemployed/other;40+;None;Yes;Google;6;71;6;0
Business;30-40;;Yes;Google;2;53;2;0
Business;30-40;;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Facebook;0;0;0;0
Law;18-30;Spotify;Yes;Google;3;489;3;1
Unemployed/other;18-30;Spotify;Yes;Google;5;1013;5;1
Business;30-40;;Yes;Direct Traffic;2;702;2;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Facebook;;289;;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Facebook;0;0;0;0
Unemployed/other;18-30;Both;Yes;Facebook;0;0;0;1
Unemployed/other;18-30;Both;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Facebook;8;76;8;0
Business;30-40;;Yes;Facebook;0;0;0;0
Law;18-30;Netflix;Yes;Facebook;0;0;0;1
Unemployed/other;18-30;Netflix;Yes;Facebook;0;0;0;1
Business;30-40;Netflix;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Google;2;925;2;1
Unemployed/other;18-30;Spotify;Yes;LaNoche.com;2;1184;2;1
Business;30-40;;Yes;Facebook;4;263;1.33;1
Business;30-40;;Yes;Google;3;949;3;1
;;;Yes;Google;5;220;5;0
Business;30-40;Netflix;Yes;Direct Traffic;3;812;3;1
Business;30-40;;Yes;Google;3;1213;1.5;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;None;Yes;Google;4;239;4;0
Business;30-40;;Yes;Google;3;1622;3;1
;;;Yes;Direct Traffic;4;177;4;0
;;;Yes;Facebook;1;216;1;0
Unemployed/other;40+;None;Yes;Facebook;0;0;0;0
Unemployed/other;40+;None;Yes;Direct Traffic;7;268;7;0
Business;30-40;;Yes;Google;5;282;1.67;0
Business;30-40;None;No;Direct Traffic;2;367;2;0
Unemployed/other;18-30;Netflix;Yes;Google;14;174;2.8;0
Business;30-40;;Yes;Google;0;0;0;1
Business;30-40;;Yes;Direct Traffic;2;316;2;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Facebook;0;0;0;1
Unemployed/other;18-30;Both;Yes;Google;4;1167;1.33;1
Business;30-40;;Yes;Google;7;1320;1.75;0
;;;No;Google;3;1083;3;0
;;;No;Direct Traffic;10;432;1.67;0
Business;30-40;;Yes;Google;2;157;2;0
;;;Yes;Google;2;407;1;0
Business;30-40;None;No;Google;6;950;6;0
;;;Yes;Direct Traffic;3;100;3;0
Business;30-40;Netflix;Yes;Google;8;2137;8;1
Unemployed/other;18-30;Spotify;Yes;Google;10;1131;5;1
Business;30-40;;Yes;Direct Traffic;6;5;6;0
Business;30-40;Netflix;Yes;Google;4;932;2;1
Business;30-40;;Yes;Facebook;0;0;0;0
;;;No;Google;2;531;1;0
;;;Yes;Facebook;0;0;0;0
Medical;35-50;Both;Yes;Google;0;0;0;1
Unemployed/other;18-30;Both;Yes;Google;0;0;0;1
Business;30-40;None;Yes;Google;5;240;5;0
Business;30-40;None;Yes;Facebook;0;0;0;0
;;;Yes;Direct Traffic;3;1041;3;0
Business;30-40;None;Yes;Google;3;155;3;0
Business;30-40;;Yes;Google;2;11;2;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Direct Traffic;2;59;2;0
;;;Yes;Facebook;0;0;0;0
Law;30-40;;Yes;Direct Traffic;3;1250;3;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Facebook;0;0;0;0
Business;30-40;None;No;Direct Traffic;3;803;3;0
Business;30-40;None;Yes;Google;14;148;14;0
Unemployed/other;18-30;Spotify;Yes;Google;5;1024;5;1
Business;30-40;None;Yes;Google;4;46;2;0
Business;30-40;Netflix;Yes;Google;4;1590;4;1
Business;30-40;None;Yes;Google;6;361;6;0
;;;Yes;Google;4;85;4;0
;;;Yes;Google;3;37;3;0
Unemployed/other;40+;Spotify;Yes;Google;4;262;4;1
;;;Yes;Google;3;559;3;0
Unemployed/other;18-30;None;Yes;Google;5;314;5;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;None;Yes;Google;3;276;3;0
Business;30-40;Netflix;Yes;Google;0;0;0;1
Unemployed/other;18-30;Spotify;Yes;Google;2;1734;2;1
Business;30-40;;Yes;Google;6;152;6;0
;;;Yes;Direct Traffic;7;265;1.75;0
;;;No;Google;7;1115;7;0
Unemployed/other;18-30;Both;No;Google;4;1295;4;0
;;;Yes;Google;4;108;4;0
Business;30-40;Netflix;Yes;Google;2;1290;2;1
;;;Yes;Facebook;0;0;0;0
Unemployed/other;40+;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Google;4;436;4;0
Unemployed/other;18-30;Spotify;Yes;Google;3;736;3;1
Unemployed/other;18-30;Spotify;Yes;Direct Traffic;5;1459;5;1
Law;30-40;Netflix;Yes;Direct Traffic;2;811;2;1
Business;30-40;Netflix;Yes;Google;7;1460;7;1
;;;Yes;Direct Traffic;2;227;2;0
;;;Yes;Direct Traffic;2;76;2;0
Unemployed/other;40+;None;Yes;Google;8;241;8;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;4;562;4;1
Law;30-40;;Yes;Direct Traffic;7;1126;7;1
Law;18-30;Spotify;Yes;Google;1;1716;1;1
Unemployed/other;18-30;Both;Yes;Google;3;534;1.5;1
;;;Yes;Google;2;30;2;0
Business;30-40;Netflix;Yes;Direct Traffic;9;1442;4.5;0
;;;Yes;Direct Traffic;1;1156;1;0
;;;Yes;Google;4;434;4;0
Business;30-40;;Yes;Facebook;0;0;0;0
Law;40+;Spotify;Yes;Facebook;3;166;1.5;1
;;;Yes;Direct Traffic;5;80;2.5;0
Business;30-40;Netflix;Yes;Direct Traffic;2;1948;2;1
;;;Yes;Google;3;986;3;0
Business;30-40;;No;Direct Traffic;22;601;1.38;0
;;;Yes;Google;5;448;5;0
;;;Yes;Direct Traffic;2;199;2;0
Business;30-40;;Yes;Google;5;786;5;1
Business;40+;Spotify;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Others;0;0;0;1
Unemployed/other;18-30;Both;Yes;Google;2;1528;2;1
Law;30-40;Netflix;Yes;Direct Traffic;2;1232;2;1
Business;35-50;None;Yes;Google;2;1188;1;0
Business;30-40;Netflix;Yes;Google;6;1049;6;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Facebook;0;0;0;1
Business;30-40;Netflix;Yes;Google;0;0;0;1
Business;30-40;;Yes;Google;4;1219;1;1
;;;Yes;Google;4;198;4;0
;;;Yes;Google;3;1334;3;0
;;;Yes;Direct Traffic;4;375;4;0
Medical;35-50;Both;Yes;Google;0;0;0;1
Business;30-40;;Yes;Facebook;0;0;0;0
;;;Yes;Google;12;1261;4;0
Unemployed/other;18-30;Spotify;Yes;Google;2;594;1;1
;;;Yes;Google;3;295;3;0
Business;30-40;;Yes;Google;3;271;3;0
Business;30-40;;Yes;Facebook;0;0;0;1
Business;30-40;;Yes;Google;0;0;0;1
Unemployed/other;18-30;Both;Yes;Google;5;1211;2.5;1
Business;30-40;Netflix;Yes;Google;0;0;0;1
Business;30-40;;Yes;Facebook;0;0;0;0
;;;Yes;Google;3;1275;3;0
Business;30-40;None;Yes;Google;4;1506;4;1
Medical;35-50;Both;Yes;Google;3;1021;3;1
Unemployed/other;40+;None;No;Google;2;342;2;0
Business;30-40;;Yes;Google;2;681;1;1
Law;30-40;Spotify;Yes;Google;3;1264;3;1
;;;Yes;Direct Traffic;5;949;1;0
;;;Yes;Google;5;371;2.5;0
;;;Yes;Google;2;426;1;0
;;;Yes;Direct Traffic;3;491;3;0
Unemployed/other;40+;None;Yes;Direct Traffic;6;99;6;1
Business;30-40;;Yes;Google;3;555;1.5;1
Business;30-40;;Yes;Google;3;505;1.5;0
Business;30-40;;Yes;Facebook;0;0;0;0
Unemployed/other;18-30;Spotify;Yes;Google;0;0;0;1
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Google;4;1732;4;0
Business;30-40;;Yes;Facebook;0;0;0;1
Medical;35-50;None;No;Google;4;32;4;0
Unemployed/other;18-30;Spotify;Yes;Google;11;1714;5.5;1
;;;Yes;Google;3;121;3;0
;;;Yes;Google;3;251;3;0
Business;30-40;None;Yes;Google;4;700;4;0
Business;30-40;;Yes;Google;8;699;8;0
;;;Yes;Direct Traffic;3;597;3;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Google;7;8;7;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Direct Traffic;4;360;4;0
;;;Yes;Facebook;0;0;0;0
;;;Yes;Google;5;271;1.67;0
Law;18-30;Spotify;Yes;Google;6;76;3;1
;;;Yes;Google;2;376;2;0
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;2;1349;1;1
Medical;35-50;Both;Yes;Google;6;1116;3;1
Business;30-40;Netflix;Yes;Google;3;370;1.5;1
;;;Yes;Google;3;131;1;0
;;;Yes;Google;2;2117;2;0
;;;Yes;Google;10;85;5;0
Unemployed/other;18-30;Both;Yes;Direct Traffic;8;1190;2;1
;;;Yes;Direct Traffic;5;287;5;0
;;;Yes;Google;2;1303;2;0
Business;30-40;Netflix;Yes;Google;10;1026;10;1
Unemployed/other;18-30;Netflix;Yes;Google;8;167;4;1
Business;30-40;;Yes;Google;3;759;3;0
;;;No;Google;5;75;5;0
Unemployed/other;40+;None;Yes;Direct Traffic;1;210;1;0
;;;Yes;Facebook;0;0;0;1
;;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;3;845;3;1
Law;30-40;Netflix;Yes;Google;5;1;5;1
;;;Yes;Google;2;1335;2;0
Business;30-40;;Yes;Google;2;51;2;0
Unemployed/other;18-30;Netflix;Yes;Google;2;1387;2;1
Business;30-40;;Yes;Direct Traffic;30;68;10;0
Unemployed/other;40+;None;Yes;Google;5;29;5;0
Business;30-40;Netflix;Yes;Google;2;296;2;1
Business;30-40;None;Yes;Google;6;555;6;0
Business;30-40;;Yes;Google;8;275;4;0
Unemployed/other;18-30;Spotify;Yes;Google;4;1033;4;1
Business;30-40;;Yes;Facebook;3;226;1.5;0
Unemployed/other;18-30;Both;Yes;Direct Traffic;16;1522;2.67;1
Unemployed/other;40+;None;Yes;Google;3;161;3;0
Business;30-40;None;Yes;Google;5;37;2.5;0
Business;30-40;;Yes;Direct Traffic;3;529;3;0
;;;No;Direct Traffic;1;191;1;0
;;;Yes;Direct Traffic;3;1293;1.5;1
Business;30-40;;Yes;Google;6;213;6;0
Business;30-40;;Yes;Google;6;125;2;0
Medical;35-50;None;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Direct Traffic;2;1328;2;1
Business;30-40;;Yes;Google;3;284;3;0
Business;30-40;;Yes;Google;2;84;2;0
;;;Yes;Direct Traffic;2;203;2;0
;;;No;Google;2;102;2;0
Unemployed/other;18-30;Both;Yes;Google;3;481;3;1
Business;30-40;;Yes;Google;9;195;2.25;0
;;;Yes;Google;5;231;5;0
Business;30-40;Netflix;Yes;Google;10;825;5;1
;;;Yes;Google;7;338;2.33;0
;;;Yes;Google;6;204;3;0
Business;30-40;None;Yes;Google;3;203;3;0
Business;30-40;;Yes;Google;3;107;3;0
;;;Yes;Google;4;221;4;0
Medical;35-50;None;Yes;Google;1;238;1;0
Business;30-40;;Yes;Google;2;335;2;0
Law;30-40;Netflix;Yes;Google;5;1383;5;1
Unemployed/other;18-30;Spotify;Yes;Google;3;761;3;1
Business;30-40;;Yes;Direct Traffic;2;303;2;0
Business;30-40;Netflix;Yes;Google;0;0;0;1
Business;30-40;Netflix;Yes;Google;0;0;0;1
Business;30-40;None;Yes;Google;4;260;4;0
Business;30-40;;No;Google;0;0;0;0
Business;30-40;;Yes;Google;2;738;2;0
Unemployed/other;18-30;Both;Yes;Google;6;212;6;0
Medical;35-50;None;Yes;Direct Traffic;3;60;3;0
Business;30-40;;No;Google;9;898;4.5;0
Business;30-40;;Yes;LaNoche.com;15;1108;3;1
Business;30-40;Netflix;Yes;Google;4;355;4;0
Unemployed/other;18-30;Both;Yes;Google;7;842;3.5;1
Business;30-40;;Yes;Google;2;133;2;0
Business;30-40;None;Yes;Facebook;0;0;0;0
Business;30-40;;Yes;Facebook;0;0;0;0
Business;30-40;Netflix;Yes;Google;2;186;2;0
Business;30-40;;Yes;Facebook;0;0;0;1
;;;Yes;Google;11;1187;11;0
;;;Yes;Direct Traffic;5;48;1.67;0
Business;30-40;None;Yes;Google;11;1039;5.5;1
Business;30-40;;Yes;Google;3;831;3;1
;;;Yes;Direct Traffic;3;977;3;0
Business;30-40;;Yes;Google;4;612;4;1
Business;30-40;;Yes;Google;3;170;1.5;1
Unemployed/other;18-30;Netflix;Yes;Direct Traffic;6;1040;6;1
Law;18-30;Netflix;Yes;Facebook;0;0;0;1
;;;Yes;Google;3;119;1.5;0
;;;Yes;Google;7;255;7;0
Unemployed/other;18-30;Both;Yes;Direct Traffic;3;1061;3;1
Business;30-40;;Yes;Google;3;1987;3;1
Business;30-40;None;Yes;Google;6;307;6;0
Business;30-40;;Yes;Google;6;138;3;0
;;;Yes;Google;2;169;2;0
;;;Yes;Facebook;0;0;0;0
